"ASSET","ASTEMPM","BKCLASS","CERT","ESAL","ID","NCLNLSR","NONIXAY","NUMEMP","RBC1AAJ","ROA","SPECGRP","STALP"
91191,4.55955,"NM",10004,1525,"10004_20191231",0.29823059360730597,3.3465842266963737,20,12.696028625701286,0.6806038073180146,4,"WI"
254520,4.545,"NM",10011,3967,"10011_20191231",0.2318574488618977,2.4316281658873735,56,9.062880877541858,1.7499722921053749,4,"WI"
177396,3.8564347826086958,"NM",10012,3236,"10012_20191231",0.15109966981924003,3.015667704095004,46,10.675398264084803,0.7282529537722416,4,"WI"
118336,5.378909090909091,"NM",10015,1353,"10015_20191231",3.094920143154746,2.6342583165182623,22,12.84971417377522,1.23752753660749,2,"WI"
1903675,5.716741741741742,"N",10044,24929,"10044_20191231",0.6684390111155304,2.2210096596589635,333,20.543236300010477,1.6692337340255314,4,"WI"
194797,6.7171379310344825,"NM",10045,2120,"10045_20191231",0.9211384970634005,2.8216947638323298,29,9.430694337688957,0.35437036512862924,7,"WV"
126263,2.3823207547169813,"NM",10055,3548,"10055_20191231",0.7839918150778639,5.222004463768408,53,14.35588731037804,-0.9496843622000434,4,"GA"
75528,3.7764,"NM",10057,1465,"10057_20191231",0.9971636234710158,3.3504975669164745,20,21.053958648512356,0.9267617821602363,7,"GA"
1763432,4.9257877094972065,"SM",1005,23192,"1005_20191231",0.5503278387568907,2.3745952786892377,358,8.541546803428842,0.9758494391427789,4,"MI"
101021,4.81052380952381,"NM",10072,1668,"10072_20191231",0,3.096593166179312,21,12.039302104603442,0.6123425785435936,2,"GA"
48717,4.8717,"NM",10074,691,"10074_20191231",1.259230192986837,2.852531156988289,10,17.42173581063884,1.2632048249470569,8,"GA"
34293,5.7155,"NM",10075,525,"10075_20191231",0.004885197850512946,2.4401394026111274,6,11.895230470090357,1.5080180249713537,2,"IL"
34221,5.703500000000001,"NM",10077,384,"10077_20191231",1.1066655316250957,1.711581116719353,6,27.675871800040312,0.8208603314878531,2,"IL"
105960,21.192,"NM",10080,510,"10080_20191231",0.36844978165938863,0.7956163101343579,5,18.32072010090586,1.0744720266765468,2,"IL"
102271,3.19596875,"SM",1008,2220,"1008_20191231",1.2162675788673507,4.284859204917373,32,9.420303918334078,0.4690611486914249,4,"MI"
278238,3.8114794520547943,"NM",10101,4134,"10101_20191231",0.5544165120470457,2.882904429712459,73,11.013612490621316,1.0974563988141415,2,"IN"
295343,6.4205000000000005,"NM",10111,3899,"10111_20191231",0.05478443224018932,2.219976435201594,46,12.528988946904454,1.1306861023796067,2,"IA"
186771,4.915026315789474,"NM",10118,3793,"10118_20191231",0.3103770558120719,3.103645319773749,38,11.250536941580757,1.3759368937982948,2,"IA"
33446,6.6892,"NM",10120,574,"10120_20191231",0.17435778216901082,2.7029438001784123,5,19.089675960813864,0.37466547725245314,2,"IA"
151109,7.195666666666667,"NM",10121,1827,"10121_20191231",0.008354119177477295,1.9806856240168895,21,20.294685026275527,1.9766489005983772,2,"IA"
160484,5.943851851851853,"NM",10122,2268,"10122_20191231",0,2.3354268263552274,27,10.446353088204663,1.469365055448778,2,"IA"
49153,4.9153,"NM",10123,791,"10123_20191231",3.932384341637011,2.6265997579062415,10,12.588798942673055,0.1410254903573821,2,"IA"
122404,4.89616,"NM",10125,1674,"10125_20191231",0.2946367144267297,2.0833505704806266,25,10.31307847082495,1.5546527886946377,2,"IA"
