"ASSET","ASTEMPM","BKCLASS","CERT","ESAL","ID","NCLNLSR","NONIXAY","NUMEMP","RBC1AAJ","ROA","SPECGRP","STALP"
240478,6.011950000000001,"NM",10004,2871,"10004_20231231",0.6642250967684797,2.593798265415231,40,8.649877687880705,0.8934299631697754,2,"WI"
442468,5.7463376623376625,"NM",10011,6535,"10011_20231231",1.333258530049469,2.472861809128984,77,8.482351971942048,0.7488396608674268,4,"WI"
222026,6.000702702702703,"NM",10012,3058,"10012_20231231",1.0202716562469343,2.4088290374690855,37,9.540409430928571,0.6180516837977059,4,"WI"
181780,7.2712,"NM",10015,1908,"10015_20231231",0.7582489946487825,2.3872013009141075,25,12.893471033458301,1.2321617533643814,4,"WI"
2786163,7.696582872928177,"N",10044,31989,"10044_20231231",2.6669864860553627,1.9910296865859558,362,17.66702293359516,1.4812805589871831,4,"WI"
306814,5.029737704918033,"NM",10055,5914,"10055_20231231",0.03910571406519334,3.3451080449945025,61,9.351610137654005,0.648488811878384,4,"GA"
77977,4.104052631578948,"NM",10057,1370,"10057_20231231",1.0652775822422451,3.133998594235358,19,19.877415056628912,0.7116998415365663,7,"GA"
2009789,5.645474719101124,"SM",1005,25897,"1005_20231231",0.07921669582641391,2.3801780940952377,356,8.705203711804037,1.0240692957521442,4,"MI"
129194,6.152095238095239,"NM",10072,1884,"10072_20231231",0.4966347436771726,2.9123577757484513,21,10.671176391746888,0.5761470493866773,4,"GA"
53181,2.65905,"NM",10074,1454,"10074_20231231",0.1399289009908479,5.377273338326516,20,13.412787381753102,-0.693284169691383,8,"GA"
40538,5.791142857142858,"NM",10075,575,"10075_20231231",0,2.1780483165303406,7,11.271749959454137,1.2174243865322427,2,"IL"
38793,6.4655,"NM",10077,410,"10077_20231231",0,1.5753964176855373,6,26.14578346645166,1.1937786519107798,2,"IL"
118414,2.574217391304348,"SM",1008,4385,"1008_20231231",2.353370730573904,6.456853110735773,46,9.885520604561883,-1.7684152486773967,4,"MI"
433766,5.633324675324675,"NM",10101,5743,"10101_20231231",0.24485508911281056,2.61946283986822,77,9.885991852230143,1.3415192836848968,2,"IN"
411177,7.213631578947369,"NM",10111,5271,"10111_20231231",0.058078680656608206,2.1998585025838,57,12.864874345418556,1.0434673160254453,2,"IA"
261414,5.8092,"NM",10118,4467,"10118_20231231",1.5669623294398523,2.8507289344320172,45,10.460262634175677,1.0899726573500923,2,"IA"
32623,6.5245999999999995,"NM",10120,662,"10120_20231231",9.83124322650565,3.085219077486579,5,16.9149371712909,-1.4752793454906725,2,"IA"
165175,8.258750000000001,"NM",10121,1997,"10121_20231231",0,1.8954413284310194,20,20.939595730613018,1.1216446783457092,2,"IA"
213286,9.694818181818182,"NM",10122,2286,"10122_20231231",0.11848571373074607,1.857284231517229,22,9.356123435545818,1.1059918130538688,2,"IA"
57287,7.160875,"NM",10123,838,"10123_20231231",1.9629693125321448,2.373193772423554,8,10.1390173028662,-0.6171620420657647,7,"IA"
151071,6.866863636363636,"NM",10125,1885,"10125_20231231",0,1.8228297621821068,22,9.918017588472134,0.8884327441930752,2,"IA"
255701,8.523366666666666,"NM",10127,3326,"10127_20231231",0.16074263095501215,2.290150115037906,30,11.59940907848721,1.1939897408818316,2,"IA"
132661,9.475785714285715,"NM",10132,1467,"10132_20231231",0,1.6130179861724012,14,10.232074610902945,1.943039498125084,2,"IA"
214959,4.573595744680851,"NM",10137,3211,"10137_20231231",1.9193681697125538,3.017294017077959,47,11.884840183886848,0.2883901815824824,4,"KY"
26793,4.4655,"NM",10145,303,"10145_20231231",0,2.5161094525256376,6,27.956590984851292,1.2174723157382117,4,"KY"
2574432,6.976780487804879,"SM",1014,31963,"1014_20231231",0.12166481555274827,2.2010229500844245,369,8.386972641187402,0.9277321803329316,4,"MI"
364572,4.446,"NM",10157,6594,"10157_20231231",0,3.180411825842666,82,8.615598495543749,0.5725559223548734,4,"MI"
405991,5.486364864864865,"NM",10159,8471,"10159_20231231",0.19850528483286298,3.4753940725986467,74,8.813507796369716,1.083088757802862,4,"MN"
78493,19.62325,"N",10160,310,"10160_20231231",0.46530612244897956,0.9623812721373322,4,29.257994969457418,1.3865466530660364,4,"MN"
90498,6.0332,"NM",10162,1371,"10162_20231231",0.8185085626264762,2.3961835489680494,15,11.324598412574725,1.3212804646721001,2,"MN"
201568,9.16218181818182,"NM",10163,2796,"10163_20231231",0,2.156833633995196,22,11.064194235863525,2.0444667709322686,4,"MN"
307969,6.285081632653061,"NM",10165,4392,"10165_20231231",0.10313976637643617,2.5973704313003667,49,10.151414056667967,1.3136763122423813,2,"MN"
284592,7.905333333333333,"NM",10167,3091,"10167_20231231",0.24551314873895522,1.736837699840964,36,12.3736567338225,0.8576012983899227,8,"MN"
472570,8.916415094339623,"NM",10168,4164,"10168_20231231",0,2.004121749746452,53,9.072000503720183,2.1624672965541327,2,"MN"
261426,6.224428571428571,"NM",10169,3668,"10169_20231231",0.08233381848314547,2.3140586303283293,42,8.911269023006897,1.2523756113025188,4,"MN"
106127,5.30635,"NM",10174,1795,"10174_20231231",0.36480658736466326,3.1541009118729297,20,7.9605320604243675,0.948456242293793,4,"MN"
155328,6.472,"NM",10175,2292,"10175_20231231",0.2892992529207032,2.691008531109929,24,9.94937345158163,1.0924521601993582,4,"MN"
149734,7.130190476190476,"NM",10176,2207,"10176_20231231",0,2.7585225370035498,21,9.399642290787178,0.9139262831245952,4,"MN"
115082,6.3934444444444445,"NM",10178,1380,"10178_20231231",1.1526668433205889,2.0953700512239486,18,9.407219881391416,2.1892180584041743,2,"MN"
64095,6.4094999999999995,"NM",10185,1244,"10185_20231231",1.5525191420956894,3.055014717254491,10,12.109466944936997,1.5588369242619213,4,"MN"
52604,10.5208,"NM",10187,382,"10187_20231231",1.0585790362384726,1.442311604403831,5,15.357099055639589,1.9163011725647514,2,"MN"
191255,6.830535714285714,"NM",10191,5144,"10191_20231231",0.40519819326011086,3.950034938754108,28,15.971612984083219,2.208382975259556,4,"MN"
176184,4.4046,"NM",10194,2825,"10194_20231231",0,2.5186666145434846,40,7.519840483082484,0.4328085645834148,8,"MN"
86776,7.231333333333333,"NM",10197,913,"10197_20231231",0.015314575298982277,1.9556794003396514,12,9.601812320292758,1.110211013293252,4,"MN"
35897,7.179399999999999,"NM",10200,382,"10200_20231231",0.21406568161645695,1.8491981539628684,5,11.428571428571429,0.6163993846542896,2,"MN"
78535,7.139545454545455,"NM",10202,1106,"10202_20231231",1.1921799663744113,2.4623817655277263,11,8.411104857393422,1.3676924806355086,4,"MN"
261844,13.0922,"NM",10212,2884,"10212_20231231",0.04313806475298869,1.7814994663018477,20,11.654053968966073,0.9795675502028369,4,"MN"
838618,24.66523529411765,"NM",10214,4515,"10214_20231231",0.17776074680802373,0.9484721573778794,34,13.056289285623118,1.1998401531997056,8,"MN"
315089,9.267323529411765,"NM",10218,3039,"10218_20231231",0.7020172423167778,1.7028312616073726,34,7.2119625694040055,0.8867220404480227,8,"MN"
324553,8.113825,"N",1022,2738,"1022_20231231",0.8760221429173576,1.4058979857226404,40,11.173058110249801,0.11844335816531239,2,"WI"
173232,7.218,"NM",10236,2638,"10236_20231231",0.5483882006707275,2.680321101980242,24,10.445380606828033,1.5066136130557732,2,"ND"
108457,12.050777777777778,"NM",10243,1098,"10243_20231231",3.340430565412823,1.6311748948715263,9,9.74814053910099,2.294307349265971,2,"ND"
5171412,7.968277349768876,"NM",10248,85851,"10248_20231231",0.6146764123166287,3.0788428963444154,649,8.543394047719206,1.557261779151071,4,"ND"
149854,8.814941176470589,"NM",10250,2023,"10250_20231231",0.052994170641229466,2.4658460986200375,17,10.001737108649465,1.4848922055239921,2,"ND"
70670,7.852222222222222,"NM",10253,653,"10253_20231231",3.379038243681394,2.05417696826729,9,12.964789638461207,1.0759974595685804,7,"ND"
817704,7.714188679245284,"NM",10255,9674,"10255_20231231",0,1.8805348478194688,106,8.021918853894753,0.799435496650527,4,"OH"
304803,6.485170212765957,"NM",10266,3229,"10266_20231231",0.12730069484962606,2.15972108781998,47,12.710077509243249,1.1425012414247326,4,"OH"
390731,8.68291111111111,"SM",1027,3702,"1027_20231231",0.16119991110786794,2.1597253350696204,45,9.432829192718978,3.3637837973430007,4,"AR"
121546,4.340928571428572,"NM",10280,1761,"10280_20231231",3.7758644809299127,2.741958292635602,28,15.07073921054554,1.1428251954313302,6,"OH"
245662,5.991756097560976,"SM",1028,3453,"1028_20231231",0.3568727374195017,3.8845423886180863,41,9.608022944998341,1.2779222818443725,4,"AR"
1796911,5.668488958990537,"NM",10307,26496,"10307_20231231",0.5233567690308792,2.5828154279084816,317,10.561806934443469,1.9409783918731356,4,"TN"
896736,5.244070175438597,"SM",10308,14241,"10308_20231231",0.7670133567038968,2.542837710349064,171,9.955017647779275,1.052423726993387,4,"TN"
147101,9.1938125,"SM",10315,1012,"10315_20231231",1.1831637163126998,1.5633929666765407,16,7.1571600205961445,1.1437453808844165,2,"TN"
268979,5.72295744680851,"NM",10317,3113,"10317_20231231",0.7520272037666754,2.0328386771590887,47,13.264180546325289,1.1680378522949884,7,"TN"
