"ASSET","ASTEMPM","BKCLASS","CERT","ESAL","ID","NCLNLSR","NONIXAY","NUMEMP","RBC1AAJ","ROA","SPECGRP","STALP"
133805,7.042368421052632,"NM",10004,1738,"10004_20211231",0.5247428069794738,2.8770571274274186,19,8.889201058748725,0.5929390512343554,4,"WI"
371496,5.544716417910448,"NM",10011,5511,"10011_20211231",0.1957725213890287,2.408553776381925,67,10.223457285280467,1.7737505532549582,4,"WI"
202597,5.194794871794872,"NM",10012,2838,"10012_20211231",0.1174721462528221,2.37873573438497,39,9.596741585222734,0.7458393045806877,4,"WI"
149624,6.801090909090909,"NM",10015,1620,"10015_20211231",1.9991906807752244,2.2829735816572563,22,12.114639404319478,1.708631984110339,2,"WI"
2669145,7.4765966386554625,"N",10044,27929,"10044_20211231",1.0499829863867947,1.8110072850597136,357,16.00674584326642,1.1026675689773189,4,"WI"
289456,5.168857142857143,"NM",10055,4750,"10055_20211231",0.17068082685378344,3.2039355922776536,56,6.94210031989944,1.144878207362785,4,"GA"
90000,4.7368421052631575,"NM",10057,1303,"10057_20211231",0.8351252687903186,2.7448242723155802,19,18.531860662701785,0.5156461783251811,7,"GA"
1982186,6.006624242424243,"SM",1005,23741,"1005_20211231",0.10301111783182322,2.1488351509916317,330,8.54449468710101,1.0994052082631849,4,"MI"
132136,6.006181818181818,"NM",10072,1791,"10072_20211231",1.090754647773123,2.6391682697286463,22,9.640068147303015,0.49504018376895825,7,"GA"
60430,5.493636363636363,"NM",10074,756,"10074_20211231",0.3559065867095705,2.8723646623788577,11,12.82841126851371,0.01752510471250066,7,"GA"
40039,5.004875,"NM",10075,540,"10075_20211231",0,2.0328528262668644,8,10.653936142556661,1.212494466791124,2,"IL"
38104,7.6208,"NM",10077,360,"10077_20211231",0.8375209380234505,1.5132873377044755,5,24.719270480066317,0.5139466429939727,2,"IL"
117224,3.447764705882353,"SM",1008,2852,"1008_20211231",0.7005693552251748,4.435400994779464,34,8.280933516631011,0.4439511653718091,4,"MI"
408746,4.924650602409638,"NM",10101,4884,"10101_20211231",0.44864207473571605,2.4389386351250595,83,9.1393812138047,1.1295021090588708,2,"IN"
387426,7.174555555555555,"NM",10111,5936,"10111_20211231",0.04432876489487169,2.3840397262424626,54,11.176620731309752,1.0963411069239173,2,"IA"
222099,6.169416666666667,"NM",10118,3851,"10118_20211231",0.29063642560575076,2.814287051825241,36,10.935594160044355,1.7371132286944562,2,"IA"
37361,6.226833333333334,"NM",10120,616,"10120_20211231",0.9812214515310438,2.638202465196747,6,16.15498852436884,-0.04042189681098182,2,"IA"
174615,8.315000000000001,"NM",10121,2035,"10121_20211231",0.002413447730755771,1.840843386083665,21,18.9588032698931,1.107640864284968,2,"IA"
210261,8.41044,"NM",10122,2336,"10122_20211231",0,1.9010466457965323,25,8.63919236620108,1.0882148425275122,2,"IA"
65729,6.5729,"NM",10123,791,"10123_20211231",3.6500211595429537,2.2089447666497994,10,10.329555195732928,0.63089538489484,2,"IA"
181636,7.5681666666666665,"NM",10125,1698,"10125_20211231",0.22354570174999583,1.5245834641331966,24,8.066908087601309,1.1105648777194033,2,"IA"
237442,7.4200625,"NM",10127,3154,"10127_20211231",0.2649813367761819,2.2963594237795917,32,10.890790641590327,1.7556278086545056,2,"IA"
143729,8.9830625,"NM",10132,1849,"10132_20211231",0,1.8608616254726027,16,8.811381367599816,1.4235332879260443,2,"IA"
220307,4.687382978723405,"NM",10137,2954,"10137_20211231",0.48568146550855484,2.62089126955492,47,11.986983451299604,0.7493547223224446,8,"KY"
32188,6.437600000000001,"NM",10145,227,"10145_20211231",0.10516208678158293,2.1798763994170023,5,21.940385381245598,1.231550608137781,4,"KY"
1299520,6.129811320754717,"NM",10146,37290,"10146_20211231",0.6570180877871156,4.533663758055,212,9.572252696867132,1.239581950538707,4,"KY"
2363747,6.320179144385026,"SM",1014,29300,"1014_20211231",0.16167195749374785,2.452383199218409,374,7.821230802174877,1.0364568123141158,4,"MI"
378549,3.7112647058823534,"NM",10157,7324,"10157_20211231",0.031040905014830655,3.4721476081200757,102,7.878314088439946,1.6274985042621462,4,"MI"
367697,4.838118421052632,"NM",10159,7869,"10159_20211231",0,3.346561680026284,76,8.520077955292974,1.0857970988401662,8,"MN"
98368,24.592,"N",10160,267,"10160_20211231",0.17190484459107483,0.8863355460708402,4,20.378927911275415,2.5659658902824325,4,"MN"
93611,6.240733333333334,"NM",10162,1105,"10162_20211231",0.5975601106461451,2.064425441133931,15,9.266333413372333,1.1774117732137692,2,"MN"
196237,7.547576923076923,"NM",10163,2844,"10163_20211231",0.3305102251600909,2.205301834082351,26,9.265147591921284,1.3903107702451805,4,"MN"
312923,6.519229166666666,"NM",10165,3765,"10165_20211231",0.10167308112021378,2.1525607827046893,48,8.571818110992806,2.040256231878517,2,"MN"
290312,7.846270270270271,"NM",10167,3206,"10167_20211231",0.2175595368464088,1.6884522557044306,37,11.139301217465045,1.302303981978305,8,"MN"
458167,8.484574074074075,"NM",10168,4319,"10168_20211231",1.141186615349023,2.0855570804106947,54,11.227371850450593,1.7937470047488346,2,"MN"
227468,5.832512820512821,"NM",10169,3013,"10169_20211231",0.021149339717614016,2.384051654930385,39,7.867782963161337,1.9826478886161891,4,"MN"
102669,4.889,"NM",10174,1650,"10174_20211231",0.14165509816698302,3.2308444180017846,21,7.429908419023136,0.8977519017466321,4,"MN"
178793,7.15172,"NM",10175,2099,"10175_20211231",1.113880912561926,2.215822623427839,25,8.560837380144896,0.639767583801477,7,"MN"
152533,6.631869565217392,"NM",10176,13,"10176_20211231",0.088259147941415,0.031453054398441156,23,7.156291540571881,-0.005370033677782636,2,"MN"
121534,6.396526315789474,"NM",10178,1535,"10178_20211231",1.828543392523541,2.1158862389090682,19,6.595445506660343,0.8562898149504665,2,"MN"
64602,6.4602,"NM",10185,1166,"10185_20211231",1.5739769150052465,2.783524362664474,10,9.986149167444522,1.6029759457236843,8,"MN"
